"Entity","Attribute","Classword_Type","Teradata_Type","PK","Required","Description","Parent_Entity"
"ACCESS_DEVICE_STATUS","Access_Device_Status_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique code for the status of an ACCESS DEVICE such as active, not yet activated, inactivated, or on hold.",""
"ACCESS_DEVICE_STATUS","Access_Device_Reason_Cd","Classword_Code","VARCHAR(50)","","N","The unique code for the reason for an ACCESS DEVICE status. For example, if the Access Device Status Cd is 'inactivated,' then this is the code for the reason that a card was inactivated such as over the credit limit.",""
"ACCESS_DEVICE_STATUS_TYPE","Access_Device_Status_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique code for the status of an ACCESS DEVICE such as active, not yet activated, inactivated, or on hold.",""
"ACCESS_DEVICE_STATUS_TYPE","Access_Device_Status_Desc","Classword_Description","VARCHAR(500)","","N","A description for the code.",""
"ACCESS_DEVICE_SUBTYPE","Access_Device_Subtype_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the type of device such as: - Card - Key card - Mobile phone",""
"ACCESS_DEVICE_SUBTYPE","Access_Device_Subtype_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"ACCESS_DEVICE_VERIFICATION_RESPONSE_TYPE","Access_Device_Verification_Response_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","This is a code for the response that was given during the access device authorization as to whether the access device such as a card passed the verification process. Possible values include: - Matched - Did not match - Not verified",""
"ACCESS_DEVICE_VERIFICATION_RESPONSE_TYPE","Access_Device_Verification_Response_Type_Desc","Classword_Description","VARCHAR(500)","","N","This is a description of the code.",""
"ACCESS_DEVICE_VERIFY_TYPE","Access_Device_Verify_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code describes the verification method of an access device event such as PIN, signature, or no verification.",""
"ACCESS_DEVICE_VERIFY_TYPE","Access_Device_Verify_Type_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"ACCESS_MEDIUM_TYPE","Access_Medium_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","This is a code for the type of contact event access medium such as debit card, ATM card, credit card, passbook, and mobile phone.",""
"ACCESS_MEDIUM_TYPE","Access_Medium_Type_Desc","Classword_Description","VARCHAR(500)","","N","This describes the type of access medium such as debit card, ATM card, credit card, and passbook.",""
"ACCIDENT_TYPE","Accident_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","This code identifies the type of accident that resulted in this specific claim. Examples include automobile accident, nonvehicular accident, hurricane, and flood.",""
"ACCIDENT_TYPE","Parent_Accident_Type_Cd","Classword_Code","VARCHAR(50)","","N","This is a higher-level classification of the accident type or cause of loss. For example, if the accident type is engine damage then a higher-level classification is automobile accident.",""
"ACCIDENT_TYPE","Accident_Type_Desc","Classword_Description","VARCHAR(500)","","N","This is a description of the code.",""
"ACCOUNT","Account_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for this account.",""
"ACCOUNT","Account_Num","Classword_Number","VARCHAR(50)","","N","The account number as represented in the source system.",""
"ACCOUNT","Account_Name","Classword_Name","VARCHAR(100)","","N","The name for this account.",""
"ACCOUNT","Account_Open_Dt","Classword_Date","DATE","","N","The date the account officially opened.",""
"ACCOUNT","Account_Close_Dt","Classword_Date","DATE","","N","The date the account actually closed.",""
"ACCOUNT","Unit_Of_Measure_Cd","Classword_Code","VARCHAR(50)","","N","A Unit Of Measure (UOM) code used to uniquely identify a quantifiable amount.  Examples: - U.S. dollar - Peso - Franc - HR = hours - MN = minutes - KB = kilobytes - IN = inches",""
"ACCOUNT","Issuing_Organization_Party_Id","Classword_Identifier","BIGINT","","N","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the party that issued the account.",""
"ACCOUNT","Responsible_Party_Id","Classword_Identifier","BIGINT","","N","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the party that is primarily responsible for this account.",""
"ACCOUNT","Account_Type_Cd","Classword_Code","VARCHAR(50)","","N","A classification of the account.",""
"ACCOUNT","Account_Purpose_Subtype_Cd","Classword_Code","VARCHAR(50)","","N","The code for the ACCOUNT PURPOSE SUBTYPE.  A subtype discriminator based on the purpose of the account such as a transaction account or a loyalty account.",""
"ACCOUNT","Account_Involvement_Subtype_Cd","Classword_Code","VARCHAR(50)","","N","The code for the ACCOUNT INVOLVEMENT SUBTYPE.  A subtype discriminator that indicates whether the enterprise is one of the parties to the account. ""Internal"" indicates the enterprise is a party to the account, and ""external"" indicates that the enterprise is not a party to the account.",""
"ACCOUNT","Agreement_Id","Classword_Identifier","BIGINT","","N","The unique identifier for the agreement that holds the terms and conditions for this account.",""
"ACCOUNT","Currency_Cd","Classword_Code","VARCHAR(50)","","N","The code for the currency.  Examples: - U.S. dollars - Canadian dollars - Japanese yen",""
"ACCOUNTING_CALENDAR_TYPE","","","","","","This entity supports all types of accounting or fiscal calendars as required by the enterprise.","CALENDAR_TYPE"
"ACCOUNTING_CURRENCY","Business_Unit_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  This is the business unit of the financial institution that is usually a country organization.",""
"ACCOUNTING_CURRENCY","Accounting_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","Global or local currency.  In this context, related to party it could be the ""preferred"" currency.",""
"ACCOUNTING_CURRENCY","Accounting_Currency_Start_Dttm","Classword_Datetime","TIMESTAMP","Y","Y","The date when this currency became the Internal Accounting Currency (IAC).",""
"ACCOUNTING_CURRENCY","Accounting_Currency_Cd","Classword_Code","VARCHAR(50)","Y","Y","The code for the currency.  Examples: - U.S. dollars - Canadian dollars - Japanese yen",""
"ACCOUNTING_CURRENCY","Accounting_Currency_End_Dttm","Classword_Datetime","TIMESTAMP","","N","The date when this currency ceased as the Internal Accounting Currency (IAC).",""
"ACCOUNTING_TYPE","Accounting_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","Global or local currency.",""
