"Parent_Entity","Child_Entity","Cardinality","FK_Columns","Relationship_Type"
"AGREEMENT_GROUP","AGREEMENT_GROUP_RISK_GRADE","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_RISK_TYPE_METRIC","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_SCORE","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_SUBJECT","0:1","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_TEXT","0:M","","association"
"AGREEMENT_GROUP","AGREEMENT_GROUP_TYPE_XREF","0:M","","association"
"AGREEMENT_GROUP","INVESTMENT_PORTFOLIO_POSITION_SUMMARY","0:M","","association"
"AGREEMENT_GROUP","PARTY_AGREEMENT_GROUP","0:M","","association"
"AGREEMENT_GROUP","PORTFOLIO_VALUE_AT_RISK","0:M","","association"
"AGREEMENT_GROUP","STRESS_TEST_AGREEMENT_GROUP","0:M","","association"
"AGREEMENT_GROUP","TARGET_PROMOTION_AGREEMENT_GROUP","0:M","","association"
"AGREEMENT_GROUP_FEATURE_ROLE","AGREEMENT_GROUP_FEATURE","0:M","","association"
"AGREEMENT_GROUP_METRIC_TYPE","AGREEMENT_GROUP_METRIC","0:M","","association"
"AGREEMENT_GROUP_METRIC_TYPE","AGREEMENT_GROUP_RELATED_METRIC","0:M","","association"
"AGREEMENT_GROUP_REASON_TYPE","AGREEMENT_GROUP","0:M","","association"
"AGREEMENT_GROUP_RELATED","AGREEMENT_GROUP_RELATED_METRIC","0:M","","association"
"AGREEMENT_GROUP_RELATED_ROLE","AGREEMENT_GROUP_RELATED","0:M","","association"
"AGREEMENT_GROUP_TYPE","AGREEMENT_GROUP_TYPE_XREF","0:M","","association"
"AGREEMENT_IDENTIFICATION_CATEGORY","AGREEMENT_IDENTIFICATION","0:M","","association"
"AGREEMENT_IDENTIFICATION_TYPE","AGREEMENT_IDENTIFICATION","0:M","","association"
"AGREEMENT_ID_TYPE_JAPAN","FINANCIAL_AGREEMENT_JAPAN","0:M","","association"
"AGREEMENT_INSURED_ASSET","AGREEMENT_INSURED_ASSET_COST","0:M","","association"
"AGREEMENT_INSURED_ASSET","AGREEMENT_INSURED_ASSET_FEATURE","0:M","","association"
"AGREEMENT_INSURED_ASSET","INSURED_ASSET_UNDERWRITE_CLASS","0:M","","association"
"AGREEMENT_INSURED_ASSET_FEATURE","AGREEMENT_INSURED_ASSET_FEATURE_RELATED","0:M","","association"
"AGREEMENT_INSURED_ASSET_FEATURE","POLICY_ASSET_COVERAGE_METRIC","0:M","","association"
"AGREEMENT_INSURED_PARTY","INDIVIDUAL_MORTALITY","0:M","","association"
"AGREEMENT_INSURED_PARTY","INSURED_PARTY_UNDERWRITE_CLASS","0:M","","association"
"AGREEMENT_INSURED_PARTY","INSURED_PROVIDER_SELECTION","0:M","","association"
"AGREEMENT_LIMIT","AGREEMENT_LIMIT_METRIC","0:M","","association"
"AGREEMENT_LIMIT","AGREEMENT_LIMIT_RELATED_is_related_to","0:M","","association"
"AGREEMENT_LIMIT","AGREEMENT_LIMIT_RELATED_is_related_with","0:M","","association"
"AGREEMENT_LOCATOR_ROLE","AGREEMENT_LOCATOR","0:M","","association"
"AGREEMENT_LOCATOR_ROLE","APPLICATION_LOCATOR","0:M","","association"
"AGREEMENT_LOCATOR_ROLE","QUOTATION_LOCATOR","0:M","","association"
"AGREEMENT_METRIC_TYPE","AGREEMENT_BALANCE_TYPE_METRIC","0:M","","association"
"AGREEMENT_METRIC_TYPE","AGREEMENT_METRIC","0:M","","association"
"AGREEMENT_METRIC_TYPE","AGREEMENT_METRIC_PROJECTION","0:M","","association"
"AGREEMENT_METRIC_TYPE","PARTY_AGREEMENT_METRIC","0:M","","association"
"AGREEMENT_OBJECTIVE_TYPE","AGREEMENT","0:M","","association"
"AGREEMENT_OBJECTIVE_TYPE","APPLICATION","0:M","","association"
"AGREEMENT_OBJECTIVE_TYPE","QUOTATION","0:M","","association"
"AGREEMENT_OBTAINED_TYPE","AGREEMENT","0:M","","association"
"AGREEMENT_PARTY_FEATURE","AGREEMENT_PARTY_FEATURE_RELATED","0:M","","association"
"AGREEMENT_PARTY_FEATURE","POLICY_PARTY_COVERAGE_METRIC","0:M","","association"
"AGREEMENT_PORTFOLIO","PORTFOLIO_PRODUCT_AGREEMENT_HOLDING","0:M","","association"
"AGREEMENT_PORTFOLIO_RELATIONSHIP_TYPE","AGREEMENT_PORTFOLIO","0:M","","association"
"AGREEMENT_PRODUCT","AGREEMENT_PRODUCT_FEATURE","0:M","","association"
